what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.core",1626587160865
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626587161075
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626587174645
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1626587174981
opened,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1626587175018
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1626587175118
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1626587175981
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.1.v20100712,"org.eclipse.jst.jsf.facelet.core",1626587178200
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1626587192989
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626587194345
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626587206089
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626587213554
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626587227582
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626587229147
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626587231758
opened,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1626587240095
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1626587240115
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626587250896
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626587257793
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1626587260596
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1626587260603
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1626587260637
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1626587261436
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1626587265154
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1626587266512
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1626587276058
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1626587286355
activated,perspective,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1626587291769
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1626587291801
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.402.v201009080200,"org.eclipse.jst.j2ee.J2EEPerspective",1626587294809
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1626587300266
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626587304505
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626587432320
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.launchShortcut.run",1626587432352
activated,perspective,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui.webDevPerspective",1626587442199
