127.0.0.1 - - [18/Jul/2021:15:58:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Jul/2021:15:58:06 +0530] "GET /servlet-app/ HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [18/Jul/2021:16:05:49 +0530] "GET /servlet-app/home HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jul/2021:16:06:08 +0530] "GET /servlet-app/home HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jul/2021:16:06:10 +0530] "GET /servlet-app/home HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jul/2021:16:06:23 +0530] "GET /servlet-app/home HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jul/2021:16:23:28 +0530] "GET /welcome-app/ HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [18/Jul/2021:16:23:53 +0530] "GET /welcome-app/ HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [18/Jul/2021:16:23:55 +0530] "GET /welcome-app/ HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [18/Jul/2021:16:23:55 +0530] "GET /welcome-app/ HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [18/Jul/2021:16:23:55 +0530] "GET /welcome-app/ HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [18/Jul/2021:16:23:56 +0530] "GET /welcome-app/ HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [18/Jul/2021:16:23:56 +0530] "GET /welcome-app/ HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [18/Jul/2021:16:24:39 +0530] "GET /welcome-app/ HTTP/1.1" 404 767
